HVG,seq30K,seq50K,seq60K,seq75K,seq100K,seq250K,seq30K_gene.mean,seq30K_gene.dispersion,seq30K_gene.dispersion.scaled,seq50K_gene.mean,seq50K_gene.dispersion,seq50K_gene.dispersion.scaled,seq60K_gene.mean,seq60K_gene.dispersion,seq60K_gene.dispersion.scaled,seq75K_gene.mean,seq75K_gene.dispersion,seq75K_gene.dispersion.scaled,seq100K_gene.mean,seq100K_gene.dispersion,seq100K_gene.dispersion.scaled,seq250K_gene.mean,seq250K_gene.dispersion,seq250K_gene.dispersion.scaled
LINC00115,1,1,1,1,1,1,0.02558211,1.04606825,0.993088288,0.031528277,1.224738573,2.146185841,0.032139685,1.12804532,1.963599362,0.032186464,1.041543759,1.82485473,0.034232702,0.946870536,1.666059444,0.038659222,0.76289842,1.319070017
ISG15,1,1,1,1,1,1,1.052999604,1.216110442,0.993698553,1.011938952,1.065531804,0.902775235,1.000645689,1.050357589,0.944334015,0.990311909,1.009768593,0.902545107,0.974242807,0.94804927,0.777832986,0.957489413,0.856328589,0.7454796
TNFRSF18,1,1,1,1,1,1,0.031835593,2.879294803,7.086700372,0.035296725,2.875253849,7.611949167,0.036710253,2.958800337,8.027424433,0.036755858,3.037516235,8.435913358,0.035960595,3.042629204,8.660983537,0.038254047,2.781846318,7.954338464
TNFRSF4,1,1,1,1,1,1,0.175761793,2.50126696,5.830142622,0.17114688,2.458002109,6.230199303,0.169923729,2.446073155,6.329169937,0.166390267,2.402233146,6.331729157,0.163569517,2.363884803,6.395567374,0.167043713,2.314151658,6.417260849
RP5-832C2.5,1,1,1,1,1,1,0.048175122,1.253464312,1.682469068,0.048316793,1.012689435,1.443974586,0.046112228,0.961588194,1.412260224,0.046137928,0.900337879,1.357152715,0.045506877,0.849181048,1.340005416,0.050838228,0.761046186,1.312982652
MIB2,1,1,0,0,0,0,0.300559377,0.928003823,0.669987474,0.303419325,0.762017975,0.63418886,0.301206618,0.70061786,0.530296078,0.299544106,0.610040636,0.318466294,0.302994436,0.603752105,0.471918514,0.317638867,0.540902441,0.588103944
CDK11A,1,0,0,0,0,0,0.221921998,0.928125392,0.601048347,0.230505277,0.704461878,0.423263721,0.231797303,0.640543029,0.348894726,0.2346247,0.602577844,0.370912137,0.245192302,0.593601674,0.486969067,0.266583674,0.457164119,0.314274814
SLC35E2,1,1,0,0,1,0,0.049555664,0.962469256,0.715206735,0.055509737,0.774607459,0.655554297,0.056567179,0.718886036,0.608382362,0.060241784,0.645808572,0.514100922,0.065469191,0.599557568,0.506847801,0.07978214,0.52828562,0.548015492
GABRD,1,1,1,1,1,1,0.057536463,1.103087713,1.182619957,0.057772847,0.958067175,1.263090257,0.056825112,0.939029423,1.337541085,0.057445395,0.888757219,1.31879526,0.055843445,0.836873626,1.298927461,0.057377886,0.72061872,1.180117863
PLCH2,1,1,1,1,1,1,0.031754193,1.035052241,0.956471273,0.030573022,0.87104698,0.974918561,0.030861129,0.821340112,0.947730657,0.031142534,0.838553682,1.152511141,0.034918715,0.82513969,1.259763602,0.036971047,0.744770555,1.25949282
